Trigger,SoundCard
4.00E-02,-4.00E-02
4.00E-02,4.00E-02
0,4.00E-02
4.00E-02,-4.00E-02
0,-4.00E-02
4.00E-02,-4.00E-02
0,4.00E-02
0,-4.00E-02
4.00E-02,-4.00E-02
0,4.00E-02
4.00E-02,-8.00E-02
4.00E-02,4.00E-02
0,-4.00E-02
4.00E-02,-4.00E-02
-4.00E-02,4.00E-02
0,0
4.00E-02,0
0,0
4.00E-02,0
0,-4.00E-02
4.00E-02,4.00E-02
0,-4.00E-02
0,-4.00E-02
4.00E-02,4.00E-02
0,4.00E-02
4.00E-02,-4.00E-02
0,4.00E-02
0,-4.00E-02
4.00E-02,0
0,0
4.00E-02,4.00E-02
0,0
4.00E-02,0
3.32000017,0
3.32000017,-4.00E-02
3.32000017,4.00E-02
3.24000025,0
3.28000021,-4.00E-02
3.28000021,8.00E-02
3.24000025,-8.00E-02
3.28000021,-4.00E-02
3.24000025,0
3.28000021,-4.00E-02
3.28000021,4.00E-02
3.24000025,-4.00E-02
3.28000021,0
3.28000021,0
3.28000021,-4.00E-02
3.24000025,0
3.28000021,4.00E-02
3.24000025,0
3.24000025,-4.00E-02
3.28000021,-4.00E-02
3.28000021,4.00E-02
3.28000021,-8.00E-02
3.28000021,4.00E-02
3.28000021,0
3.28000021,-4.00E-02
3.28000021,4.00E-02
3.24000025,0
3.32000017,0
3.24000025,4.00E-02
3.28000021,-4.00E-02
3.24000025,-4.00E-02
3.28000021,4.00E-02
3.28000021,0
3.24000025,-4.00E-02
3.28000021,4.00E-02
3.24000025,0
3.28000021,-4.00E-02
3.28000021,4.00E-02
3.24000025,0
3.32000017,-4.00E-02
3.24000025,4.00E-02
3.28000021,-4.00E-02
3.28000021,4.00E-02
3.24000025,-4.00E-02
3.28000021,0
3.28000021,-4.00E-02
3.28000021,4.00E-02
3.24000025,-4.00E-02
3.28000021,-4.00E-02
3.32000017,4.00E-02
3.24000025,-4.00E-02
3.32000017,-8.00E-02
3.28000021,4.00E-02
3.24000025,-4.00E-02
3.32000017,4.00E-02
3.28000021,0
3.28000021,-4.00E-02
3.32000017,4.00E-02
3.28000021,-4.00E-02
3.24000025,0
3.28000021,-4.00E-02
3.28000021,4.00E-02
3.24000025,0
3.28000021,-4.00E-02
3.28000021,4.00E-02
3.24000025,-4.00E-02
3.32000017,4.00E-02
3.28000021,0
3.24000025,-4.00E-02
3.28000021,4.00E-02
3.28000021,-4.00E-02
3.32000017,4.00E-02
3.28000021,0
3.28000021,-4.00E-02
3.28000021,0
3.28000021,-4.00E-02
3.28000021,4.00E-02
3.24000025,-8.00E-02
3.32000017,4.00E-02
3.28000021,4.00E-02
3.28000021,-4.00E-02
3.28000021,4.00E-02
3.28000021,-4.00E-02
3.32000017,-4.00E-02
3.28000021,8.00E-02
3.28000021,-4.00E-02
3.32000017,0
3.28000021,4.00E-02
3.32000017,-4.00E-02
3.28000021,-4.00E-02
3.28000021,0
3.28000021,0
3.24000025,-4.00E-02
3.28000021,4.00E-02
3.24000025,4.00E-02
3.28000021,-4.00E-02
3.28000021,4.00E-02
3.24000025,-4.00E-02
3.32000017,-4.00E-02
3.24000025,0
3.28000021,0
3.28000021,4.00E-02
3.28000021,-4.00E-02
3.32000017,0
3.28000021,0
3.28000021,4.00E-02
3.32000017,0
3.28000021,-4.00E-02
3.32000017,0
3.24000025,0
3.32000017,-4.00E-02
3.32000017,0
3.24000025,-4.00E-02
3.32000017,0
3.28000021,0
3.28000021,0
3.28000021,4.00E-02
3.28000021,-4.00E-02
3.28000021,0
3.32000017,-4.00E-02
3.28000021,4.00E-02
3.28000021,0
3.32000017,-4.00E-02
3.32000017,4.00E-02
3.28000021,-4.00E-02
3.32000017,0
3.28000021,0
